y,x,osmid,highway,ref,geometry
52.4678327,13.4897929,1504040729,,,POINT (13.4897929 52.4678327)
52.4532524,13.4564956,1510075931,,,POINT (13.4564956 52.4532524)
52.4403727,13.4348986,1518864796,,,POINT (13.4348986 52.4403727)
52.5599708,13.4670842,1549537382,traffic_signals,,POINT (13.4670842 52.5599708)
52.5658246,13.4711937,1549553101,,,POINT (13.4711937 52.5658246)
52.568093,13.4763857,1557591272,,,POINT (13.4763857 52.568093)
52.4263788,13.546433,1560223386,,,POINT (13.546433 52.4263788)
52.4282029,13.5268517,1560223686,,,POINT (13.5268517 52.4282029)
52.4327627,13.518324,1560224884,,,POINT (13.518324 52.4327627)
52.4330972,13.5188824,1560225040,crossing,,POINT (13.5188824 52.4330972)
52.4332079,13.5190693,1560225093,crossing,,POINT (13.5190693 52.4332079)
52.4340887,13.5205873,1560225331,crossing,,POINT (13.5205873 52.4340887)
52.4341921,13.5207689,1560225339,crossing,,POINT (13.5207689 52.4341921)
